Gene	NCBI gene ID	Chromosome	Locus	No of Studies	Proteins
AAR2	25980	20	20q11.23	30	XP_006723833;XP_011527064;XP_011527065;XP_047296038;XP_054179291;XP_054179292;XP_054179293;XP_054179294;NP_001258803;NP_056326;Q9Y312;A0A7P0T8J7;A0A7P0TA70;A2A2Q9;ENSP00000505405;ENSP00000380455;ENSP00000505137;ENSP00000505952;ENSP00000506354;ENSP00000505061;ENSP00000505295;ENSP00000313674;ENSP00000506185;ENSP00000363043
AARS1	16	16	16q22.1	56	XP_047289622;XP_054235677;NP_001596;P49588;A0A6Q8PF33;A0A6Q8PF77;A0A6Q8PFK3;A0A6Q8PFY2;A0A6Q8PGB5;A0A6Q8PGE8;A0A6Q8PGN5;A0A6Q8PGR9;A0A6Q8PH44;A0A6Q8PHJ2;A0A6Q8PHP3;A0A6Q8PHP7;H3BPK7;A0A6Q8PG28;A0A6Q8PG62;A0A6Q8PGI8;A0A6Q8PHN5;ENSP00000502797;ENSP00000501924;ENSP00000502247;ENSP00000261772;ENSP00000502765;ENSP00000502726;ENSP00000502108;ENSP00000502321;ENSP00000502196;ENSP00000502052;ENSP00000502534;ENSP00000502620;ENSP00000502230;ENSP00000502823;ENSP00000502055;ENSP00000501613;ENSP00000501853;ENSP00000502014;ENSP00000502712;ENSP00000502479;ENSP00000502367;ENSP00000455360;ENSP00000502277;ENSP00000501679;ENSP00000502753;ENSP00000502645;ENSP00000502699
AARS2	57505	6	6p21.1	33	XP_005249302;XP_054212038;NP_065796;Q5JTZ9;ENSP00000244571
AARSD1	80755	17	17q21.31	40	NP_001248363;Q9BTE6;H7C1K1;K7EQ85;K7N799;L7N2F4;L7N2F5;ENSP00000467714;ENSP00000400870;ENSP00000387415;ENSP00000400735;ENSP00000467696;ENSP00000404894
AASDHPPT	60496	11	11q22.3	40	NP_056238;Q9NRN7;E9PLW6;E9PNF3;ENSP00000437175;ENSP00000435099;ENSP00000437144;ENSP00000278618
AASS	10157	7	7q31.32	34	XP_011514027;XP_047275666;XP_047275667;XP_054212961;XP_054212962;XP_054212963;NP_005754;Q9UDR5;F8WAH1;A0A7P0T834;A0A7P0T8W7;A0A7P0T9N4;A0A7P0TA09;A0A7P0TA62;A0A7P0TAY5;A0A7P0TB07;A0A7P0TBD2;A0A7P0Z402;A0A7P0Z428;A0A7P0Z4M3;F8WE53;ENSP00000505958;ENSP00000403768;ENSP00000505381;ENSP00000505506;ENSP00000505881;ENSP00000506341;ENSP00000505849;ENSP00000505102;ENSP00000505825;ENSP00000506437;ENSP00000506684;ENSP00000505352;ENSP00000505671;ENSP00000504919;ENSP00000506554;ENSP00000505942;ENSP00000504967;ENSP00000377040;ENSP00000506240;ENSP00000505945;ENSP00000351834;ENSP00000414001
AATF	26574	17	17q12	50	XP_047291704;XP_054171693;XP_054185255;NP_001398023;NP_036270;Q9NY61;A0A087WTH8;A0A087WW41;A0A087WWS8;A0A0J9YWE9;A0A7P0T868;A0A7P0TAR0;A0A7P0TBG4;A0A7P0TBI0;A0A7P0Z434;A0A7P0Z4N2;A0A7P0Z4P2;ENSP00000506539;ENSP00000477881;ENSP00000506655;ENSP00000505146;ENSP00000506264;ENSP00000477848;ENSP00000505070;ENSP00000479926;ENSP00000506608;ENSP00000504972;ENSP00000506681;ENSP00000480472
ABAT	18	16	16p13.2	39	XP_047289641;XP_047289642;XP_047289643;XP_047289644;XP_054235700;XP_054235701;XP_054235702;XP_054235703;NP_000654;NP_001120920;NP_001373529;NP_001373530;NP_001373531;NP_001373532;NP_001373533;NP_001373534;NP_001373535;NP_001373536;NP_001373537;NP_001373538;NP_001373539;NP_001373540;NP_001373541;NP_001373542;NP_001373543;NP_001373544;NP_001373545;NP_065737;P80404;H3BNQ7;H3BRN4;H3BMJ9;H3BP74;H3BP84;H3BPW8;H3BRJ1;H3BRT1;ENSP00000456392;ENSP00000268251;ENSP00000455184;ENSP00000456267;ENSP00000379845;ENSP00000455198;ENSP00000454415;ENSP00000456330;ENSP00000411916;ENSP00000454963;ENSP00000455502
ABCA1	19	9	9q31.1	40	NP_005493;O95477;A0A7I2V5U0;B1AMI1;B1AMI2;ENSP00000363868;ENSP00000504612;ENSP00000416623;ENSP00000363865
ABCA12	26154	2	2q35	5	XP_011509253;XP_054197317;NP_056472;NP_775099;Q86UK0;E9PBK1;ENSP00000272895;ENSP00000374312;ENSP00000400231
ABCA2	20	9	9q34.3	34	XP_047278877;XP_054218230;NP_001397971;NP_001597;NP_997698;Q9BZC7;A0A087WXK5;H0Y8C9;H0Y8D6;E9PGB2;H0Y8E3;H7C5M6;ENSP00000344155;ENSP00000360666;ENSP00000481105;ENSP00000420084;ENSP00000418662;ENSP00000420360;ENSP00000419850;ENSP00000420289
ABCA3	21	16	16p13.3	16	NP_001080;Q99758;H0Y3H2;ENSP00000301732;ENSP00000371818;ENSP00000454397
ABCA6	23460	17	17q24.2-q24.3	12	NP_525023;Q8N139;ENSP00000284425;ENSP00000466862
ABCA8	10351	17	17q24.2	26	XP_011522494;XP_047291064;XP_047291065;XP_054170659;XP_054170660;XP_054170661;NP_001275914;NP_001275915;NP_001362700;NP_001362701;NP_009099;O94911;A0A075B774;A0A0A0MSU4;K7ELK9;ENSP00000467271;ENSP00000269080;ENSP00000402814;ENSP00000467186;ENSP00000466126
ABCB10	23456	1	1q42.13	29	XP_011542437;XP_011542438;XP_047272545;XP_047272546;XP_054191675;XP_054191676;XP_054191677;XP_054191678;NP_036221;Q9NRK6;ENSP00000355637
ABCB6	10058	2	2q35	37	NP_001336757;NP_005680;Q9NP58;H7C049;H7C1R6;H7C245;H7C3Z0;ENSP00000265316;ENSP00000295750;ENSP00000414646;ENSP00000404006;ENSP00000392988;ENSP00000401811
ABCB7	22	X	Xq13.3	37	NP_001258625;NP_001258626;NP_001258627;NP_001258628;NP_004290;O75027;A0A087WW65;A0A2R8Y3N2;A0A2R8Y473;A0A2R8YF35;A0A590UJS8;A0A5F9ZA98;B4DGL8;E9PJR8;E9PNQ5;ENSP00000362492;ENSP00000253577;ENSP00000499543;ENSP00000493713;ENSP00000343849;ENSP00000496526;ENSP00000479985;ENSP00000436586;ENSP00000494779;ENSP00000435521;ENSP00000432813;ENSP00000493617
ABCB8	11194	7	7q36.1	30	NP_001269220;NP_001269221;NP_001269222;NP_009119;Q9NUT2;C9JTY4;C9JYI3;C9JA03;F2Z2Z1;F2Z3G8;F8WC43;H7C5K9;ENSP00000438776;ENSP00000417563;ENSP00000419014;ENSP00000418970;ENSP00000420216;ENSP00000297504;ENSP00000420631;ENSP00000351717;ENSP00000418271;ENSP00000419891;ENSP00000419558;ENSP00000418316;ENSP00000420162
ABCC1	4363	16	16p13.11	57	XP_011520799;XP_016878726;XP_047290087;XP_047290088;XP_047290089;XP_047290090;XP_047290091;XP_047290092;XP_047290093;XP_047290094;XP_047290096;XP_047290097;XP_047290098;XP_047290100;XP_047290101;XP_047290102;XP_047290103;XP_047290104;XP_047290105;XP_047290107;XP_047290108;XP_047290109;XP_047290110;XP_054185047;XP_054185048;XP_054185049;XP_054185050;XP_054185051;XP_054185052;XP_054185053;XP_054185054;XP_054185055;XP_054185056;XP_054185057;XP_054185058;XP_054185059;XP_054185060;XP_054185061;XP_054185062;XP_054185063;XP_054185064;XP_054185065;XP_054185066;XP_054185067;XP_054185068;XP_054185069;XP_054236323;XP_054236324;XP_054236325;XP_054236326;XP_054236327;XP_054236328;XP_054236329;XP_054236330;XP_054236331;XP_054236332;XP_054236333;XP_054236334;XP_054236335;XP_054236336;XP_054236337;XP_054236338;XP_054236339;XP_054236340;XP_054236341;XP_054236342;XP_054236343;XP_054236344;XP_054236345;XP_054236346;XP_054236347;XP_054236348;XP_054236349;XP_054236350;XP_054236351;XP_054236352;XP_054236353;XP_054236354;XP_054236355;NP_004987;NP_063915;P33527;A0A0A0MS99;A0A7I2V2E0;A0A7I2V4C6;I3L4X2;ENSP00000382340;ENSP00000461615;ENSP00000503954;ENSP00000502873;ENSP00000382342
ABCC10	89845	6	6p21.1	18	XP_011513276;XP_011513287;XP_011513288;XP_047275450;XP_047275451;XP_047275452;XP_047275453;XP_047275454;XP_047275455;XP_047275456;XP_047275457;XP_047275458;XP_054212675;XP_054212676;XP_054212677;XP_054212678;XP_054212679;XP_054212680;XP_054212681;XP_054212682;XP_054212683;XP_054212684;XP_054212685;XP_054212686;NP_001185863;NP_001337447;NP_258261;Q5T3U5;D6R9B3;H0Y904;ENSP00000361593;ENSP00000361608;ENSP00000244533;ENSP00000422699
ABCC11	85320	16	16q12.1	4	XP_011521700;XP_016879286;XP_016879287;XP_016879288;XP_016879289;XP_016879290;XP_016879291;XP_024306243;XP_047290774;XP_054170187;XP_054170188;XP_054170189;XP_054170190;XP_054170191;XP_054170192;XP_054170193;XP_054170194;XP_054170195;XP_054170196;XP_054170197;XP_054170198;NP_001357425;NP_001357426;NP_115972;NP_149163;NP_660187;Q96J66;H3BRJ2;ENSP00000349017;ENSP00000311326;ENSP00000378230;ENSP00000378231;ENSP00000456268
ABCC3	8714	17	17q21.33	36	NP_001137542;NP_003777;O15438;D6RAB7;D6RJE5;H0Y8Q6;H0Y8T5;H0Y9T4;ENSP00000422786;ENSP00000425697;ENSP00000395160;ENSP00000285238;ENSP00000427073;ENSP00000427521;ENSP00000424981;ENSP00000422058;ENSP00000421755
ABCC4	10257	13	13q32.1	52	XP_016875809;XP_047285990;XP_047285991;XP_054229974;XP_054229975;XP_054229976;NP_001098985;NP_001288758;NP_001288759;NP_005836;O15439;A0A2R8YDC1;A0A2R8Y5Z3;A0A2R8Y6V8;A0A2R8YDG7;Q8IWU1;ENSP00000494609;ENSP00000493861;ENSP00000495513;ENSP00000494751;ENSP00000442024;ENSP00000494938;ENSP00000487081;ENSP00000493766;ENSP00000494431
ABCC5	10057	3	3q27.1	22	XP_005247116;XP_011510616;XP_011510617;XP_016860982;XP_047303054;XP_047303055;XP_047303056;XP_054200801;XP_054200802;XP_054200803;XP_054200804;XP_054200805;XP_054200806;XP_054200807;XP_054200808;NP_001018881;NP_001306961;NP_005679;O15440;A5PKY6;C9JZL5;E9PET4;F8WCY8;F8WDH3;H7C271;ENSP00000333926;ENSP00000265586;ENSP00000403510;ENSP00000404302;ENSP00000404809;ENSP00000371934;ENSP00000376358;ENSP00000416840;ENSP00000409913;ENSP00000399726;ENSP00000390911
ABCD1	215	X	Xq28	30	XP_047297872;XP_047297873;XP_054182655;XP_054182656;NP_000024;P33897;A6NEP8;ENSP00000218104;ENSP00000359147
ABCD3	5825	1	1p21.3	46	XP_006710865;XP_011540179;XP_047282502;XP_047282505;XP_047282510;XP_047282512;XP_047282515;XP_054193963;XP_054193964;XP_054193965;XP_054193966;XP_054193967;XP_054193968;NP_001116146;NP_002849;P28288;A0A3B3ITW3;ENSP00000359233;ENSP00000497921;ENSP00000326880
ABCD4	5826	14	14q24.3	21	XP_005267999;XP_011535343;XP_016877020;XP_024305445;XP_047287593;XP_047287595;XP_047287596;XP_054232484;XP_054232485;XP_054232486;XP_054232487;XP_054232488;XP_054232489;XP_054232490;NP_001340520;NP_001340521;NP_001340522;NP_001340523;NP_001340524;NP_001340525;NP_001340526;NP_001340527;NP_001340528;NP_001340529;NP_001340530;NP_001340531;NP_001340532;NP_001340533;NP_001340534;NP_001340535;NP_001340536;NP_001340537;NP_001340538;NP_001340539;NP_005041;NP_064720;NP_064730;O14678;E9PI46;E9PPB6;G3V3W1;G3V4U7;H0YCY9;H0YJ78;H0YJ82;H0YJL8;H0YJX8;ENSP00000349396;ENSP00000434792;ENSP00000436782;ENSP00000450982;ENSP00000450611;ENSP00000450960;ENSP00000451778;ENSP00000432557;ENSP00000434626;ENSP00000450491;ENSP00000436527;ENSP00000452430;ENSP00000451521;ENSP00000451457;ENSP00000451993;ENSP00000451770;ENSP00000432630
ABCE1	6059	4	4q31.21	47	NP_001035809;NP_002931;P61221;D6R9I9;D6RGF4;H0Y990;ENSP00000421250;ENSP00000422068;ENSP00000296577;ENSP00000423415
ABCF1	23	6	6p21.33	63	NP_001020262;NP_001081;Q8NE71;A0A0G2JIC2;A0A0G2JJB9;F5GYK6;H0YGW7;Q5STZ8;ENSP00000365728;ENSP00000405512;ENSP00000440893;ENSP00000313603;ENSP00000445100
ABCF2	10061	7	7q36.1	44	NP_009120;Q9UG63;C9JHK9;C9JZV3;ENSP00000287844;ENSP00000419720;ENSP00000395785
ABCF3	55324	3	3q27.1	46	XP_047304471;XP_054203150;NP_001338227;NP_001338228;NP_001338229;NP_060828;Q9NUQ8;F8WCU6;ENSP00000415704;ENSP00000292808;ENSP00000411471
ABCG1	9619	21	21q22.3	16	XP_011528108;XP_011528109;XP_024307909;XP_047297009;XP_047297010;XP_047297011;XP_054180937;XP_054180938;XP_054180939;XP_054180940;XP_054180941;XP_054180942;NP_004906;NP_058198;NP_997057;NP_997510;NP_997511;NP_997512;P45844;E9PGV9;C9JKD9;ENSP00000381475;ENSP00000291524;ENSP00000414541;ENSP00000354995;ENSP00000381467;ENSP00000339744;ENSP00000381464
ABHD10	55347	3	3q13.2	49	NP_001258998;NP_060864;Q9NUJ1;F8WBJ5;F8WBQ6;ENSP00000418162;ENSP00000273359;ENSP00000417880;ENSP00000418973
ABHD11	83451	7	7q11.23	40	XP_024302716;XP_024302717;XP_047276840;XP_047276841;XP_047276842;XP_054215090;XP_054215091;XP_054215092;XP_054215093;XP_054215094;NP_001138836;NP_001287987;NP_683710;NP_683711;Q8NFV4;C9J7Q4;H0YC52;H7BZ58;H7C396;ENSP00000222800;ENSP00000378579;ENSP00000392945;ENSP00000416970;ENSP00000397666;ENSP00000387908;ENSP00000410536;ENSP00000430937
ABHD12	26090	20	20p11.21	33	XP_011527516;XP_016883286;XP_047296043;XP_047296044;XP_047296045;XP_047296046;XP_047296047;XP_047296048;XP_047296049;XP_047296050;XP_054179303;XP_054179304;XP_054179305;XP_054179306;XP_054179307;XP_054179308;XP_054179309;XP_054179310;XP_054179311;NP_001035937;NP_056415;Q8N2K0;A0A5F9ZGT4;A0A5F9ZGW7;A0A5F9ZGZ9;A0A5F9ZH28;A0A5F9ZH49;A0A5F9ZH71;A0A5F9ZHB5;A0A5F9ZHE8;A0A5F9ZHF0;A0A5F9ZHG5;A0A5F9ZHH2;A0A5F9ZHM3;A0A5F9ZHQ0;A0A5F9ZHQ8;I3L1V0;I3L206;I3L294;I3L380;I3L440;Q5T712;ENSP00000459278;ENSP00000365725;ENSP00000500286;ENSP00000499949;ENSP00000500550;ENSP00000500316;ENSP00000341408;ENSP00000499945;ENSP00000499868;ENSP00000500062;ENSP00000500290;ENSP00000500514;ENSP00000500208;ENSP00000500106;ENSP00000499839;ENSP00000500451;ENSP00000459121;ENSP00000500257;ENSP00000459495;ENSP00000460950;ENSP00000413311;ENSP00000460249
ABHD13	84945	13	13q33.3	16	XP_011519430;XP_054231049;NP_116248;Q7L211;ENSP00000365063
ABHD14B	84836	3	3p21.2	45	NP_001139786;NP_001241682;NP_116139;Q96IU4;F8W9U3;B4DQI4;ENSP00000420065;ENSP00000318248;ENSP00000354841;ENSP00000378455;ENSP00000417564;ENSP00000433388
ABHD15	116236	17	17q11.2	14	NP_937790;Q6UXT9;ENSP00000302657
ABHD16A	7920	6	6p21.33	48	NP_001170986;NP_066983;O95870;A0A0G2JI89;A0A0G2JJD3;F2Z3G6;F2Z3H2;F2Z3Q3;ENSP00000379282;ENSP00000420585;ENSP00000418170;ENSP00000410347;ENSP00000420628;ENSP00000418331;ENSP00000419742;ENSP00000417566
ABHD17A	81926	19	19p13.3	14	XP_011526640;XP_047295443;XP_047295444;XP_047295445;XP_054178245;XP_054178246;XP_054178247;NP_001123583;NP_112490;Q96GS6;A0A7I2YQW9;K7ENJ6;K7EQ25;ENSP00000504042;ENSP00000504744;ENSP00000292577;ENSP00000250974;ENSP00000467638;ENSP00000466977
ABHD17B	51104	9	9q21.13	23	XP_006717197;XP_016870276;XP_016870277;XP_016870278;XP_047279402;XP_047279403;XP_054219026;XP_054219027;XP_054219028;XP_054219029;XP_054219030;XP_054219031;NP_001020951;NP_057098;Q5VST6;ENSP00000366240;ENSP00000330222
ABHD17C	58489	15	15q25.1	14	NP_067037;Q6PCB6;H0YN98;ENSP00000453923;ENSP00000258884;ENSP00000452778
ABHD18	80167	4	4q28.2	3	NP_001034806;NP_001306234;NP_001306235;NP_001306236;NP_001345380;NP_001345383;NP_001352966;NP_001352967;NP_001352968;NP_001352969;NP_001352970;NP_001352971;NP_001352972;NP_001352973;NP_001352974;NP_001352975;NP_001352976;NP_001352977;NP_079373;Q0P651;A0A2R8YEZ0;B7WP89;D6RD85;D6RGX5;ENSP00000381937;ENSP00000425434;ENSP00000397229;ENSP00000496010;ENSP00000373447;ENSP00000421129;ENSP00000480015
ABHD2	11057	15	15q26.1	16	NP_001403341;NP_001403342;NP_001403343;NP_001403344;NP_001403345;NP_001403346;NP_001403347;NP_001403348;NP_001403349;NP_001403350;NP_001403351;NP_001403352;NP_001403353;NP_008942;NP_690888;P08910;H3BMT2;H3BN19;H3BUZ6;ENSP00000457882;ENSP00000454645;ENSP00000454531;ENSP00000455639;ENSP00000268129
ABHD3	171586	18	18q11.2	17	XP_011524149;XP_016881063;XP_047293268;XP_047293269;XP_047293270;XP_054174206;XP_054174207;XP_054174208;XP_054174209;XP_054174210;NP_001295185;NP_001295186;NP_612213;Q8WU67;J3KSP1;J3KTE1;J3QQR0;J3QR14;ENSP00000289119;ENSP00000462935;ENSP00000462578;ENSP00000463996;ENSP00000463365;ENSP00000463848
ABHD4	63874	14	14q11.2	20	NP_001378938;NP_071343;Q8TB40;F5GZC9;F5H067;F5H6T0;H0YFD5;J3KMW0;ENSP00000438332;ENSP00000437385;ENSP00000216327;ENSP00000414558;ENSP00000388751;ENSP00000444550;ENSP00000438014
ABHD5	51099	3	3p21.33	22	XP_047304199;XP_054202694;NP_001342115;NP_001352578;NP_001352579;NP_057090;Q8WTS1;A0A2R8Y7S6;A0A2R8YER6;A0A2R8YEZ7;A0A2R8YG22;A0A2R8YG27;A0A2U3TZT9;C9J1D1;C9JBM3;F8W7B5;H7BZY9;ENSP00000391582;ENSP00000390849;ENSP00000497701;ENSP00000495588;ENSP00000494735;ENSP00000495778;ENSP00000013894;ENSP00000495826;ENSP00000496220;ENSP00000494829;ENSP00000412014;ENSP00000494478;ENSP00000392159;ENSP00000495570
ABHD6	57406	3	3p14.3	22	XP_005265391;XP_005265392;XP_047304585;XP_047304586;XP_054203343;XP_054203344;XP_054203345;XP_054203346;NP_001307055;NP_065727;Q9BV23;C9J010;C9JNE7;F8WBP4;ENSP00000295962;ENSP00000420315;ENSP00000418209;ENSP00000420408;ENSP00000418934
ABI1	10006	10	10p12.1	58	XP_005252389;XP_011517591;XP_016870948;XP_047280360;XP_047280361;XP_047280362;XP_047280363;XP_047280364;XP_047280365;XP_054220430;XP_054220431;XP_054220432;XP_054220433;XP_054220434;XP_054220435;XP_054220436;XP_054220437;XP_054220438;NP_001012768;NP_001012769;NP_001012770;NP_001171587;NP_001171590;NP_001171591;NP_001171592;NP_001171593;NP_001171594;NP_001171595;NP_001171596;NP_001334958;NP_001334959;NP_001334960;NP_001334961;NP_001334962;NP_001334963;NP_001397838;NP_005461;Q8IZP0;A0A0A0MRT6;B6VEX4;ENSP00000365340;ENSP00000365312;ENSP00000352114;ENSP00000365309;ENSP00000365330;ENSP00000365336;ENSP00000365308;ENSP00000365310;ENSP00000439646;ENSP00000440101;ENSP00000365307;ENSP00000279599
ABI2	10152	2	2q33.2	51	XP_006712243;XP_006712244;XP_006712245;XP_016858621;XP_016858627;XP_016858633;XP_047298779;XP_047298780;XP_047298781;XP_047298782;XP_047298783;XP_047298784;XP_047298785;XP_047298786;XP_047298787;XP_047298788;XP_047298790;XP_047298791;XP_047298792;XP_047298793;XP_054196067;XP_054196068;XP_054196069;XP_054196070;XP_054196071;XP_054196072;XP_054196073;XP_054196074;XP_054196075;XP_054196076;XP_054196077;XP_054196078;XP_054196079;XP_054196080;XP_054196081;XP_054196082;XP_054196083;XP_054196084;XP_054196085;XP_054196086;NP_001269854;NP_001269855;NP_001269856;NP_001269861;NP_001362591;NP_001362592;NP_001362593;NP_001362594;NP_001362595;NP_001362596;NP_001362597;NP_001362598;NP_001362599;NP_001362600;NP_001362601;NP_001362602;NP_001362603;NP_001362604;NP_001362605;NP_001362606;NP_001362607;NP_001362608;NP_001362609;NP_001362610;NP_001362611;NP_001362612;NP_001362613;NP_001362614;NP_001362615;NP_001362616;NP_001362617;NP_001362618;NP_001362619;NP_001362620;NP_001362621;NP_001362622;NP_001362624;NP_001362625;NP_001362627;NP_001362628;NP_001362631;NP_001362633;NP_001362635;NP_001362636;NP_001362637;NP_001362638;NP_001362639;NP_001362640;NP_001362641;NP_001362643;NP_001362646;NP_001362648;NP_001362650;NP_001362651;NP_001362652;NP_001362653;NP_001362654;NP_001362655;NP_001362656;NP_001362657;NP_001362658;NP_001362659;NP_001362660;NP_001362661;NP_001362662;NP_001362663;NP_001362664;NP_001362665;NP_001362666;NP_001362667;NP_001362668;NP_001362669;NP_001362670;NP_001362671;NP_001362672;NP_001362673;NP_001362674;NP_001362675;NP_001362676;NP_001362677;NP_001362678;NP_001362679;NP_001362680;NP_001362681;NP_001362682;NP_001362683;NP_001362684;NP_005750;Q9NYB9;A0A0C4DG21;A0A7D9NKC8;E7EP65;E7EW77;E9PEZ7;F8WAL6;A0A0A0MQU9;E7EUA1;F8WAQ3;F8WAU3;F8WAZ8;F8WBL5;F8WCD7;F8WEB9;H0Y6B5;H7C3Q7;ENSP00000261017;ENSP00000397850;ENSP00000405801;ENSP00000408898;ENSP00000399040;ENSP00000261018;ENSP00000295851;ENSP00000405255;ENSP00000391433;ENSP00000408334;ENSP00000398487;ENSP00000414703;ENSP00000396249;ENSP00000261016;ENSP00000410509;ENSP00000413375;ENSP00000404352
ABI3	51225	17	17q21.32	43	XP_005257486;XP_011523175;XP_016880210;XP_054172334;XP_054172335;XP_054172336;NP_001128658;NP_057512;Q9P2A4;I3L1X2;I3L3W4;ENSP00000406651;ENSP00000225941;ENSP00000460776;ENSP00000459171
ABI3BP	25890	3	3q12.2	40	XP_005247341;XP_005247342;XP_005247344;XP_005247345;XP_005247346;XP_005247347;XP_005247348;XP_005247350;XP_005247352;XP_005247353;XP_005247355;XP_005247356;XP_005247358;XP_005247360;XP_006713632;XP_006713634;XP_006713635;XP_011510941;XP_011510942;XP_011510943;XP_011510945;XP_011510946;XP_011510947;XP_011510948;XP_011510949;XP_011510950;XP_011510951;XP_011510953;XP_016861594;XP_016861595;XP_024309212;XP_024309213;XP_047303867;XP_047303868;XP_047303870;XP_047303871;XP_047303873;XP_047303874;XP_047303875;XP_047303876;XP_047303877;XP_047303878;XP_047303879;XP_047303880;XP_047303881;XP_047303882;XP_054202013;XP_054202014;XP_054202015;XP_054202016;XP_054202017;XP_054202018;XP_054202019;XP_054202020;XP_054202021;XP_054202022;XP_054202023;XP_054202024;XP_054202025;XP_054202026;XP_054202027;XP_054202028;XP_054202029;XP_054202030;XP_054202031;XP_054202032;XP_054202033;XP_054202034;XP_054202035;XP_054202036;XP_054202037;XP_054202038;XP_054202039;XP_054202040;XP_054202041;XP_054202042;XP_054202043;XP_054202044;XP_054202045;XP_054202046;XP_054202047;XP_054202048;XP_054202049;XP_054202050;XP_054202051;XP_054202052;XP_054202053;XP_054202054;XP_054202055;XP_054202056;XP_054202057;XP_054202058;XP_054202059;NP_001336258;NP_001336259;NP_001336260;NP_001336261;NP_001352571;NP_001352572;NP_001362476;NP_001362478;NP_001362479;NP_001364261;NP_056244;Q7Z7G0;D3YTG3;E9PPR9;E9PRB5;F6R962;H0Y897;H0YCG4;H0YCP4;H0YDN0;H0YEA0;H0YEL2;H0YF18;H0YF57;H7C4H3;H7C4N5;H7C4S3;H7C4T1;H7C4X4;H7C524;H7C556;H7C5S3;ENSP00000420524;ENSP00000284322;ENSP00000418817;ENSP00000419029;ENSP00000420704;ENSP00000418024;ENSP00000431537;ENSP00000418800;ENSP00000417745;ENSP00000418063;ENSP00000433981;ENSP00000432069;ENSP00000433993;ENSP00000436070;ENSP00000437308;ENSP00000437031;ENSP00000417325;ENSP00000418479;ENSP00000435319;ENSP00000436918;ENSP00000434256
ABITRAM	54942	9	9q31.3	21	NP_001397919;NP_060302;Q9NX38;X6R8U7;X6REY2;ENSP00000363753;ENSP00000363754;ENSP00000398018
ABL1	25	9	9q34.12	48	NP_005148;NP_009297;P00519;R4GRW0;ENSP00000361423;ENSP00000376971;ENSP00000323315
